base_section_id,title,status,md_tables,md_rows,db_chunks,db_tables,db_rows,coverage_pct,issue_types,details,chunk_ids
11-2-6,녹막이 페인트칠,FAIL,3,13,1,1,2,15.4,ROW_MISSING;COL_MISMATCH,"원본 13행 vs DB 2행 (coverage 15.4%) | 원본에만 있는 컬럼 수: {5} (MD: [3, 5], DB: [3])",C-0776
8-4-5,[40]콘크리트기계,FAIL,2,32,1,1,5,15.6,ROW_MISSING,원본 32행 vs DB 5행 (coverage 15.6%),C-0307
2-8-2,낙하물 방지망(플라잉넷) 설치 및 해체,FAIL,6,12,1,1,2,16.7,ROW_MISSING;COL_MISMATCH,"원본 12행 vs DB 2행 (coverage 16.7%) | 원본에만 있는 컬럼 수: {10} (MD: [4, 10], DB: [4])",C-0077
3-5-2,암반청소,FAIL,3,14,1,1,3,21.4,ROW_MISSING;COL_MISMATCH,"원본 14행 vs DB 3행 (coverage 21.4%) | 원본에만 있는 컬럼 수: {12, 7} (MD: [6, 7, 12], DB: [6])",C-0144
11-2-3,수성페인트 뿜칠,FAIL,4,11,1,2,3,27.3,ROW_MISSING;COL_MISMATCH,"원본 11행 vs DB 3행 (coverage 27.3%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 6], DB: [3])",C-0773
2-10-5,조립식 간이흙막이 설치 및 해체,FAIL,3,11,1,1,3,27.3,ROW_MISSING;COL_MISMATCH,"원본 11행 vs DB 3행 (coverage 27.3%) | 원본에만 있는 컬럼 수: {8, 6} (MD: [6, 8], DB: [7])",C-0105
2-4-6,하수관 준설(버킷식),FAIL,3,11,1,1,3,27.3,ROW_MISSING;COL_MISMATCH,"원본 11행 vs DB 3행 (coverage 27.3%) | 원본에만 있는 컬럼 수: {8} (MD: [5, 8], DB: [5])",C-1121
6-7-6,PC거더 설치,FAIL,3,18,1,1,5,27.8,ROW_MISSING,원본 18행 vs DB 5행 (coverage 27.8%),C-0239
2-9-1,타워크레인 방호울타리 설치 및 해체,FAIL,5,7,1,2,2,28.6,ROW_MISSING;COL_MISMATCH,"원본 7행 vs DB 2행 (coverage 28.6%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 5, 6], DB: [3, 5])",C-0089
5-4-4,단열재 핀사용 붙이기,FAIL,10,28,1,3,8,28.6,ROW_MISSING;COL_MISMATCH,"원본 28행 vs DB 8행 (coverage 28.6%) | 원본에만 있는 컬럼 수: {7} (MD: [3, 5, 7], DB: [3, 5])",C-0680
3-4-4,뒤채움 및 다짐(소형장비),FAIL,5,17,1,1,5,29.4,ROW_MISSING;COL_MISMATCH,"원본 17행 vs DB 5행 (coverage 29.4%) | 원본에만 있는 컬럼 수: {8} (MD: [5, 8], DB: [5])",C-0137
2-1-13,일체형 맨홀추락방지망 설치(보도구간),FAIL,2,12,1,1,4,33.3,ROW_MISSING,원본 12행 vs DB 4행 (coverage 33.3%),C-1080
2-7-3,강관틀 비계 설치 및 해체,FAIL,3,6,1,1,2,33.3,ROW_MISSING;COL_MISMATCH,"원본 6행 vs DB 2행 (coverage 33.3%) | 원본에만 있는 컬럼 수: {6, 7} (MD: [6, 7], DB: [5])",C-0072
3-3-6,암발파(대규모발파 TYPE-Ⅵ),FAIL,8,24,1,4,8,33.3,ROW_MISSING,원본 24행 vs DB 8행 (coverage 33.3%),C-0130
3-4-7,되메우기 및 다짐(대형장비),FAIL,3,17,1,1,6,35.3,ROW_MISSING,원본 17행 vs DB 6행 (coverage 35.3%),C-0140
1-8-13,유색포장(미끄럼방지),FAIL,4,13,1,2,5,38.5,ROW_MISSING;COL_MISMATCH,"원본 13행 vs DB 5행 (coverage 38.5%) | 원본에만 있는 컬럼 수: {11, 7} (MD: [2, 7, 11], DB: [2, 6])",C-0369
1-6-4,콘크리트 표층 기계포설(대형장비),FAIL,2,14,1,1,6,42.9,ROW_MISSING;COL_MISMATCH,"원본 14행 vs DB 6행 (coverage 42.9%) | 원본에만 있는 컬럼 수: {8} (MD: [8], DB: [7])",C-0351
4-4-3,잔디블록 포장,FAIL,3,9,1,1,4,44.4,ROW_MISSING;COL_MISMATCH,"원본 9행 vs DB 4행 (coverage 44.4%) | 원본에만 있는 컬럼 수: {10} (MD: [5, 10], DB: [5])",C-0180
1-8-11,중앙분리대 설치(가드레일식),FAIL,3,13,1,1,6,46.2,ROW_MISSING;COL_MISMATCH,"원본 13행 vs DB 6행 (coverage 46.2%) | 원본에만 있는 컬럼 수: {11, 7} (MD: [7, 11], DB: [6])",C-0367
13-7-3,노체 4본주 및 DECK 설치,WARN,3,18,1,2,9,50.0,ROW_PARTIAL,원본 18행 vs DB 9행 (coverage 50.0%),C-1001
3-2-7,도배 해체,WARN,4,6,1,2,3,50.0,ROW_PARTIAL,원본 6행 vs DB 3행 (coverage 50.0%),C-1140
3-8-1,패널 설치,WARN,4,14,1,2,7,50.0,ROW_PARTIAL;COL_MISMATCH,"원본 14행 vs DB 7행 (coverage 50.0%) | 원본에만 있는 컬럼 수: {5} (MD: [4, 5], DB: [4])",C-0153
4-4-5,녹지경계분리재 설치,WARN,2,4,1,1,2,50.0,ROW_PARTIAL;COL_MISMATCH,"원본 4행 vs DB 2행 (coverage 50.0%) | 원본에만 있는 컬럼 수: {6} (MD: [4, 6], DB: [4])",C-0182
5-3-7,도배바름,WARN,13,34,1,5,17,50.0,ROW_PARTIAL;COL_MISMATCH,"원본 34행 vs DB 17행 (coverage 50.0%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 4, 5, 6, 9], DB: [3, 4, 5, 9])",C-NEW-0030
5-4-2,단열재 접착제 붙이기,WARN,14,32,1,6,16,50.0,ROW_PARTIAL,원본 32행 vs DB 16행 (coverage 50.0%),C-NEW-0031
5-4-7,단열재 슬래브위 깔기,WARN,10,28,1,5,14,50.0,ROW_PARTIAL,원본 28행 vs DB 14행 (coverage 50.0%),C-NEW-0032
13-7-18,가열로 및 균열로 부속기기 조립설치,WARN,2,13,1,1,7,53.8,ROW_PARTIAL,원본 13행 vs DB 7행 (coverage 53.8%),C-1011
2-3-3,블록 붙이기(기계),WARN,2,5,1,1,3,60.0,ROW_PARTIAL,원본 5행 vs DB 3행 (coverage 60.0%),C-0384
2-11-9,지능형 출입관리 설치 및 해체,WARN,4,8,1,2,5,62.5,ROW_PARTIAL;COL_MISMATCH,"원본 8행 vs DB 5행 (coverage 62.5%) | 원본에만 있는 컬럼 수: {6} (MD: [4, 6], DB: [4])",C-0113
1-8-5,시선유도표지 설치,WARN,8,11,1,4,7,63.6,ROW_PARTIAL;COL_MISMATCH,"원본 11행 vs DB 7행 (coverage 63.6%) | 원본에만 있는 컬럼 수: {9, 7} (MD: [4, 6, 7, 8, 9], DB: [4, 6, 8])",C-0361
13-9-4,오수처리시설 설치,WARN,6,11,1,4,7,63.6,ROW_PARTIAL,원본 11행 vs DB 7행 (coverage 63.6%),C-1027
6-1-7,콘크리트 현장양생공시체 제작,WARN,5,12,1,3,8,66.7,ROW_PARTIAL,원본 12행 vs DB 8행 (coverage 66.7%),C-0207
2-2-12,도상갱환,WARN,4,11,1,4,8,72.7,ROW_PARTIAL;COL_MISMATCH,"원본 11행 vs DB 8행 (coverage 72.7%) | 원본에만 있는 컬럼 수: {5} (MD: [3, 5], DB: [3, 4])",C-1110
2-9-10,점멸등 설치 및 해체,WARN,7,11,1,5,8,72.7,ROW_PARTIAL;COL_MISMATCH,"원본 11행 vs DB 8행 (coverage 72.7%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 4, 5, 6, 8], DB: [3, 4, 5, 8])",C-0098
2-5-2,도로용 목재 수평규준틀 설치 및 철거,WARN,4,8,1,3,6,75.0,ROW_PARTIAL,원본 8행 vs DB 6행 (coverage 75.0%),C-0063
2-7-6,타워형 가설 계단 설치 및 해체,WARN,5,17,1,3,13,76.5,ROW_PARTIAL;COL_MISMATCH,"원본 17행 vs DB 13행 (coverage 76.5%) | 원본에만 있는 컬럼 수: {6} (MD: [4, 5, 6], DB: [4, 5])",C-0075
1-5-6,사용료,INFO,1,10,2,1,8,80.0,ROW_MINOR_DIFF;COL_MISMATCH,"원본 10행 vs DB 8행 (coverage 80.0%) | 원본에만 있는 컬럼 수: {7} (MD: [7], DB: [5])","C-0038, C-0343"
8-2-19,콘크리트 운반,INFO,2,5,1,2,4,80.0,ROW_MINOR_DIFF;COL_MISMATCH,"원본 5행 vs DB 4행 (coverage 80.0%) | 원본에만 있는 컬럼 수: {5, 7} (MD: [5, 7], DB: [6, 8])",C-0277
8-5-1,[00]토공기계,INFO,10,100,3,4,80,80.0,ROW_MINOR_DIFF;COL_MISMATCH,"원본 100행 vs DB 80행 (coverage 80.0%) | 원본에만 있는 컬럼 수: {9, 11, 20, 6} (MD: [3, 6, 9, 11, 20], DB: [3])","C-0313-A, C-0313-B, C-0313-C"
8-2-4,트랜처,INFO,11,46,4,12,37,80.4,ROW_MINOR_DIFF;COL_MISMATCH,"원본 46행 vs DB 37행 (coverage 80.4%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 4, 6, 8], DB: [3, 4, 5, 8])","C-0262, C-0496, C-0736, C-0873"
3-2-4,터파기(기계),INFO,16,36,5,12,29,80.6,ROW_MINOR_DIFF;COL_MISMATCH,"원본 36행 vs DB 29행 (coverage 80.6%) | 원본에만 있는 컬럼 수: {3, 6, 7, 12, 18} (MD: [2, 3, 5, 6, 7, 9, 12, 18], DB: [2, 5, 8, 9])","C-0124-A, C-0124-B, C-0392, C-0658, C-1138"
6-8-1,주철제 게이트 제수밸브 부설 및 접합,INFO,2,26,1,1,21,80.8,ROW_MINOR_DIFF,원본 26행 vs DB 21행 (coverage 80.8%),C-0462
7-2-1,메붙임,INFO,21,43,2,18,35,81.4,ROW_MINOR_DIFF,원본 43행 vs DB 35행 (coverage 81.4%),"C-0246, C-0474"
11-3-3,석재도료칠,INFO,4,11,2,5,9,81.8,ROW_MINOR_DIFF;COL_MISMATCH,"원본 11행 vs DB 9행 (coverage 81.8%) | 원본에만 있는 컬럼 수: {6, 7} (MD: [3, 5, 6, 7], DB: [3, 4, 5])","C-0783, C-0929"
1-3-3,데크플레이트 설치,INFO,13,34,4,9,28,82.4,ROW_MINOR_DIFF;COL_MISMATCH,"원본 34행 vs DB 28행 (coverage 82.4%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 4, 5, 6], DB: [3, 4, 5])","C-0332, C-0638, C-0795, C-1061"
6-6-1,교량받침 설치(육상),INFO,9,63,5,6,52,82.5,ROW_MINOR_DIFF;COL_MISMATCH,"원본 63행 vs DB 52행 (coverage 82.5%) | 원본에만 있는 컬럼 수: {8, 9, 6} (MD: [3, 5, 6, 7, 8, 9], DB: [3, 5, 7])","C-0228-A, C-0228-B, C-0228-C, C-0451, C-0715"
13-4-3,STORAGE TANK,INFO,14,77,9,10,64,83.1,ROW_MINOR_DIFF;COL_MISMATCH,"원본 77행 vs DB 64행 (coverage 83.1%) | 원본에만 있는 컬럼 수: {8, 9, 20} (MD: [4, 5, 7, 8, 9, 10, 20], DB: [4, 5, 6, 7, 10])","C-0964-B, C-0964-C, C-0964-A-d, C-0964-A-e, C-0964-A-f, C-0964-A-a, C-0964-A-b, C-0964-D, C-0964-A-c"
10-4-3,코킹,INFO,5,6,2,5,5,83.3,ROW_MINOR_DIFF,원본 6행 vs DB 5행 (coverage 83.3%),"C-0763, C-0910"
13-11-5,공사별 설치 소모자재[참고],INFO,3,48,4,4,40,83.3,ROW_MINOR_DIFF;COL_MISMATCH,"원본 48행 vs DB 40행 (coverage 83.3%) | 원본에만 있는 컬럼 수: {4} (MD: [4, 9], DB: [9])","C-1038-A, C-1038-B, C-1038-C, C-1038-D"
6-2-3,관 절단,INFO,15,44,3,9,37,84.1,ROW_MINOR_DIFF;COL_MISMATCH,"원본 44행 vs DB 37행 (coverage 84.1%) | 원본에만 있는 컬럼 수: {8, 3, 7} (MD: [3, 4, 5, 6, 7, 8], DB: [4, 5, 6])","C-0210, C-0438, C-0705"
10-5-1,압력공기탱크설치,INFO,7,13,1,6,11,84.6,ROW_MINOR_DIFF;COL_MISMATCH,"원본 13행 vs DB 11행 (coverage 84.6%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 4, 5, 6], DB: [3, 4, 5])",C-0912
3-9-2,뿌리뽑기,INFO,3,20,1,2,17,85.0,ROW_MINOR_DIFF;COL_MISMATCH,"원본 20행 vs DB 17행 (coverage 85.0%) | 원본에만 있는 컬럼 수: {10, 7} (MD: [6, 7, 10], DB: [6, 12])",C-0158
9-5-1,항공사진촬영,INFO,15,103,12,16,88,85.4,ROW_MINOR_DIFF;COL_MISMATCH,"원본 103행 vs DB 88행 (coverage 85.4%) | 원본에만 있는 컬럼 수: {11} (MD: [4, 5, 6, 9, 11, 14], DB: [4, 5, 6, 8, 9, 14])","C-0530-D, C-0530-A-a, C-0530-A-b, C-0530-B, C-0530-C, C-0530-F, C-0530-G, C-0530-H, C-0530-I, C-0530-E, C-0530-J, C-0899"
1-4-7,작업환경,INFO,6,14,1,6,12,85.7,ROW_MINOR_DIFF,원본 14행 vs DB 12행 (coverage 85.7%),C-0031
3-3-2,재도장 시 바탕처리(철재면),INFO,4,7,2,2,6,85.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 7행 vs DB 6행 (coverage 85.7%) | 원본에만 있는 컬럼 수: {5} (MD: [4, 5, 6], DB: [4, 6])","C-0126, C-0826"
8-1-3,운반 및 수송,INFO,9,102,10,9,88,86.3,ROW_MINOR_DIFF;COL_MISMATCH,"원본 102행 vs DB 88행 (coverage 86.3%) | 원본에만 있는 컬럼 수: {8, 17, 3, 14} (MD: [2, 3, 8, 9, 14, 17], DB: [2, 7, 9, 12])","C-0253-a, C-0253-b, C-0253-c, C-0491, C-0868-A, C-0868-B, C-0868-C, C-0868-D, C-0868-E, C-0868-F"
8-5-9,[80]스마트 건설장비,INFO,2,75,1,3,65,86.7,ROW_MINOR_DIFF,원본 75행 vs DB 65행 (coverage 86.7%),C-0321
1-5-1,텍코팅 및 프라임 코팅 살포,INFO,3,16,3,2,14,87.5,ROW_MINOR_DIFF,원본 16행 vs DB 14행 (coverage 87.5%),"C-0033, C-0338, C-0801"
6-5-3,소켓융착 접합 및 부설,INFO,4,16,2,4,14,87.5,ROW_MINOR_DIFF,원본 16행 vs DB 14행 (coverage 87.5%),"C-0448, C-0713"
5-2-3,플라스틱 보드 드레인(PBD),INFO,11,41,3,9,36,87.8,ROW_MINOR_DIFF;COL_MISMATCH,"원본 41행 vs DB 36행 (coverage 87.8%) | 원본에만 있는 컬럼 수: {11, 6, 7} (MD: [2, 3, 5, 6, 7, 11], DB: [2, 3, 4, 5, 9])","C-0193-A, C-0193-B, C-0430"
1-2-4,재료 및 자재의 단가,INFO,8,89,10,11,79,88.8,ROW_MINOR_DIFF;COL_MISMATCH,"원본 89행 vs DB 79행 (coverage 88.8%) | 원본에만 있는 컬럼 수: {9, 13} (MD: [2, 3, 4, 5, 9, 13], DB: [2, 3, 4, 5, 7, 8, 12])","C-1047-B, C-1047-C, C-0010-B, C-0010-A, C-0010-C, C-0010-D, C-0010-E, C-0010-F, C-0633, C-1047-A"
2-8-14,엘리베이터 추락방호망 설치 및 해체,INFO,7,9,1,6,8,88.9,ROW_MINOR_DIFF,원본 9행 vs DB 8행 (coverage 88.9%),C-0084
8-2-14,압쇄기(콘크리트 소할용),INFO,5,9,1,5,8,88.9,ROW_MINOR_DIFF,원본 9행 vs DB 8행 (coverage 88.9%),C-0272
8-4-1,[00]토공기계,INFO,9,96,6,8,86,89.6,ROW_MINOR_DIFF;COL_MISMATCH,"원본 96행 vs DB 86행 (coverage 89.6%) | 원본에만 있는 컬럼 수: {13, 4, 12} (MD: [3, 4, 6, 12, 13], DB: [3, 6, 11])","C-0303-A, C-0303-B, C-0303-C, C-0303-D, C-0504, C-0883"
3-1-2,터널 여굴(餘掘)량,INFO,6,29,4,4,26,89.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 29행 vs DB 26행 (coverage 89.7%) | 원본에만 있는 컬럼 수: {2, 7} (MD: [2, 3, 5, 7], DB: [3, 5, 6])","C-0820, C-0119, C-0387, C-1131"
7-2-4,수상고르기,INFO,3,10,3,4,9,90.0,ROW_MINOR_DIFF;COL_MISMATCH,"원본 10행 vs DB 9행 (coverage 90.0%) | 원본에만 있는 컬럼 수: {9, 5} (MD: [5, 9], DB: [3, 8])","C-0477, C-0726, C-0860"
9-2-5,4급 GNSS 높이측량,INFO,6,21,4,6,19,90.5,ROW_MINOR_DIFF;COL_MISMATCH,"원본 21행 vs DB 19행 (coverage 90.5%) | 원본에만 있는 컬럼 수: {13} (MD: [1, 3, 4, 13], DB: [1, 3, 4, 11])","C-0518-A-c, C-0518-B, C-0518-A-a, C-0518-A-b"
2-1-31,보도용 블록 소규모보수,INFO,4,11,1,4,10,90.9,ROW_MINOR_DIFF;COL_MISMATCH,"원본 11행 vs DB 10행 (coverage 90.9%) | 원본에만 있는 컬럼 수: {7} (MD: [2, 5, 7], DB: [2, 5, 6])",C-1095
2-3-1,식생매트 설치,INFO,7,23,3,7,21,91.3,ROW_MINOR_DIFF;COL_MISMATCH,"원본 23행 vs DB 21행 (coverage 91.3%) | 원본에만 있는 컬럼 수: {4} (MD: [4, 5, 6, 7], DB: [5, 6, 7])","C-0053, C-0382, C-1114"
1-2-5,인력,INFO,6,24,3,7,22,91.7,ROW_MINOR_DIFF,원본 24행 vs DB 22행 (coverage 91.7%),"C-0011, C-1048, C-0634"
2-1-32,보차도 및 도로경계블록 철거,INFO,2,12,1,2,11,91.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 12행 vs DB 11행 (coverage 91.7%) | 원본에만 있는 컬럼 수: {6} (MD: [2, 6], DB: [2, 7])",C-1096
3-4-2,작업대차 조립 및 해체,INFO,6,12,3,6,11,91.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 12행 vs DB 11행 (coverage 91.7%) | 원본에만 있는 컬럼 수: {6} (MD: [3, 6], DB: [3, 4, 5])","C-0135, C-0829, C-1147"
4-5-1,가스압접,INFO,2,12,1,2,11,91.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 12행 vs DB 11행 (coverage 91.7%) | 원본에만 있는 컬럼 수: {6} (MD: [5, 6], DB: [4, 5])",C-0413
6-7-3,PC BOX 설치,INFO,5,36,4,6,33,91.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 36행 vs DB 33행 (coverage 91.7%) | 원본에만 있는 컬럼 수: {8, 16, 10} (MD: [2, 8, 10, 16], DB: [2, 7])","C-0236, C-0458-A, C-0458-B, C-0458-C"
8-2-26,유압식 압입 인발기(유압식 압입 인발공),INFO,6,12,1,6,11,91.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 12행 vs DB 11행 (coverage 91.7%) | 원본에만 있는 컬럼 수: {3} (MD: [2, 3, 4, 5, 6], DB: [2, 4, 5, 6])",C-0284
9-7-3,토지구획정리 신규등록 측량(수치),INFO,6,48,8,8,44,91.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 48행 vs DB 44행 (coverage 91.7%) | 원본에만 있는 컬럼 수: {5} (MD: [5, 7, 8], DB: [6, 7, 8])","C-0592-D, C-0547-A-a, C-0547-B, C-0547-A-b, C-0592-A-a, C-0592-A-b, C-0592-B, C-0592-C"
9-7-4,경지구획정리 신규등록 측량(수치),INFO,4,36,4,6,33,91.7,ROW_MINOR_DIFF;COL_MISMATCH,"원본 36행 vs DB 33행 (coverage 91.7%) | 원본에만 있는 컬럼 수: {5} (MD: [5, 7], DB: [6, 7])","C-0548-A, C-0548-B, C-0593-A, C-0593-B"
5-3-1,기성말뚝 기초,INFO,23,75,11,20,69,92.0,ROW_MINOR_DIFF;COL_MISMATCH,"원본 75행 vs DB 69행 (coverage 92.0%) | 원본에만 있는 컬럼 수: {9} (MD: [2, 3, 4, 5, 6, 7, 8, 9], DB: [2, 3, 4, 5, 6, 7, 8, 15])","C-0196-A-b, C-0196-A-a, C-0196-A-c, C-0196-A-d, C-0196-A-e, C-0196-B, C-0196-C, C-0196-D, C-0674, C-0690, C-0844"
3-11-4,머신 컨트롤(MC) 불도우저,INFO,5,13,1,4,12,92.3,ROW_MINOR_DIFF,원본 13행 vs DB 12행 (coverage 92.3%),C-0163
9-9-2,분할측량(수치),INFO,10,43,12,10,40,93.0,ROW_MINOR_DIFF,원본 43행 vs DB 40행 (coverage 93.0%),"C-0554-A-c, C-0554-A-d, C-0554-A-a, C-0554-A-b, C-0554-A-e, C-0554-B, C-0599-A-a, C-0599-A-b, C-0599-A-c, C-0599-A-d, C-0599-A-e, C-0599-B"
9-11-2,경지구획정리 지적확정측량,INFO,8,58,6,10,54,93.1,ROW_MINOR_DIFF;COL_MISMATCH,"원본 58행 vs DB 54행 (coverage 93.1%) | 원본에만 있는 컬럼 수: {5} (MD: [4, 5, 7], DB: [4, 6, 7])","C-0560-A-a, C-0560-A-b, C-0560-B, C-0605-A-a, C-0605-A-b, C-0605-B"
1-2-20,가로수 제거,INFO,2,15,1,2,14,93.3,ROW_MINOR_DIFF;COL_MISMATCH,"원본 15행 vs DB 14행 (coverage 93.3%) | 원본에만 있는 컬럼 수: {5} (MD: [3, 5], DB: [3, 6])",C-1059
